loinc_code;loinc_display;loinc_component;loinc_property;loinc_system;loinc_scale;loinc_method;loinc_unitofmeasure;loinc_codesystem;loinc_timing
1007-4;Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells;Direct antiglobulin test.polyspecific reagent;PrThr;RBC;Ord;;;http://loinc.org;Pt
1003-3;Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma;Indirect antiglobulin test.complement specific reagent;PrThr;Ser/Plas;Ord;;;http://loinc.org;Pt
34531-4;Blood type and Crossmatch panel - Blood;Blood type & Crossmatch panel;-;Bld;-;;;http://loinc.org;Pt
1250-0;Major crossmatch [Interpretation];Major crossmatch;Imp;Ser/Plas;Nom;;;http://loinc.org;Pt
890-4;Blood group antibody screen [Presence] in Serum or Plasma;Blood group antibody screen;PrThr;Ser/Plas;Ord;;;http://loinc.org;Pt
X099080;Titer Anti-ABO;;;Bld;Qn;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
57743-7;ABO group [Type] in Blood by Confirmatory method;ABO group;Type;Bld;Nom;Confirm;;http://loinc.org;Pt
13513-7;Iron.microscopic observation [Identifier] in Bone marrow by Potassium ferrocyanide stain;Iron.microscopic observation;Prid;Bone mar;Nom;Potassium ferrocyanide stain;;http://loinc.org;Pt
11018-9;Microscopic observation [Identifier] in Blood or Marrow by Peroxidase stain;Microscopic observation;Prid;Bld/Bone mar;Nom;Peroxidase stain;;http://loinc.org;Pt
11019-7;Microscopic observation [Identifier] in Blood or Marrow by Sudan black B stain;Microscopic observation;Prid;Bld/Bone mar;Nom;Sudan black B stain;;http://loinc.org;Pt
X099081;Sugar Water Test/Sucrose Water Test;;;Ser/Plas;Qn;;%;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
13535-0;Sucrose hemolysis of Red Blood Cells;Sucrose hemolysis;NFr;RBC;Qn;;%;http://loinc.org;Pt
13533-5;Acid hemolysis [Presence] of Blood;Acid hemolysis;PrThr;Bld;Ord;;;http://loinc.org;Pt
11020-5;Microscopic observation [Identifier] in Blood or Marrow by Tartrate-resistant acid phosphatase stain;Microscopic observation;Prid;Bld/Bone mar;Nom;Tartrate-resistant acid phosphatase stain;;http://loinc.org;Pt
45043-7;Microscopic observation [Identifier] in Specimen by Tzanck smear;Microscopic observation;Prid;XXX;Nom;Tzanck smear;;http://loinc.org;Pt
4542-7;Haptoglobin [Mass/volume] in Serum or Plasma;Haptoglobin;MCnc;Ser/Plas;Qn;;mg/dL;http://loinc.org;Pt
4543-5;Haptoglobin [Mass/volume] in Serum or Plasma by Electrophoresis;Haptoglobin;MCnc;Ser/Plas;Qn;Electrophoresis;g/dL;http://loinc.org;Pt
